time,scenario,encryption,load_MBps,throughput_MBps,effective_throughput_MBps,total_delay_s,queue_delay_s,encryption_delay_s,packet_loss,utilization_rho
24,Traditional,No Encryption,318.62126808178516,49.03941313794942,49.03941313794942,999.000199999999,998.9999999999992,0.0,0.6076846948964046,0.999
25,Traditional,No Encryption,256.6694908540592,60.87595353856952,60.87595353856952,999.000199999999,998.9999999999992,0.0,0.5129923716914438,0.999
26,Traditional,No Encryption,262.66620745492423,59.486144606863384,59.486144606863384,999.000199999999,998.9999999999992,0.0,0.5241108431450929,0.999
27,Traditional,No Encryption,333.76359304935,46.81457272570079,46.81457272570079,999.000199999999,998.9999999999992,0.0,0.6254834181943937,0.999
28,Traditional,No Encryption,276.89901160210763,56.42851489283203,56.42851489283203,999.000199999999,998.9999999999992,0.0,0.5485718808573438,0.999
29,Traditional,No Encryption,260.31948053624365,60.02240004402809,60.02240004402809,999.000199999999,998.9999999999992,0.0,0.5198207996477753,0.999
30,Traditional,No Encryption,599.1760177203357,26.077478967612713,26.077478967612713,999.000199999999,998.9999999999992,0.0,0.7913801682590983,0.999
31,Traditional,No Encryption,512.5199256822353,30.486619577182196,30.486619577182196,999.000199999999,998.9999999999992,0.0,0.7561070433825424,0.999
32,Traditional,No Encryption,461.9071131420546,33.82714739704539,33.82714739704539,999.000199999999,998.9999999999992,0.0,0.7293828208236369,0.999
33,Traditional,No Encryption,570.1674861736524,27.404228369558748,27.404228369558748,999.000199999999,998.9999999999992,0.0,0.78076617304353,0.999
34,Traditional,No Encryption,576.0496292822893,27.12439902004185,27.12439902004185,999.000199999999,998.9999999999992,0.0,0.7830048078396652,0.999
35,Traditional,No Encryption,460.1528282723975,33.95610988345472,33.95610988345472,999.000199999999,998.9999999999992,0.0,0.7283511209323622,0.999
36,Traditional,No Encryption,446.6155126000941,34.98534994683637,34.98534994683637,999.000199999999,998.9999999999992,0.0,0.720117200425309,0.999
37,Traditional,No Encryption,405.5417699018609,38.5287069289587,38.5287069289587,999.000199999999,998.9999999999992,0.0,0.6917703445683304,0.999
38,Traditional,No Encryption,483.4097469291383,32.322476117326666,32.322476117326666,999.000199999999,998.9999999999992,0.0,0.7414201910613867,0.999
39,Traditional,No Encryption,433.2769287165409,36.06238635019085,36.06238635019085,999.000199999999,998.9999999999992,0.0,0.7115009091984732,0.999
40,Traditional,No Encryption,500.35988542165,31.227523339191972,31.227523339191972,999.000199999999,998.9999999999992,0.0,0.7501798132864642,0.999
41,Traditional,No Encryption,529.3967882117554,29.514723828944156,29.514723828944156,999.000199999999,998.9999999999992,0.0,0.7638822093684468,0.999
42,Traditional,No Encryption,443.668286330332,35.217752725211575,35.217752725211575,999.000199999999,998.9999999999992,0.0,0.7182579781983074,0.999
43,Traditional,No Encryption,517.2261541851742,30.209222549109597,30.209222549109597,999.000199999999,998.9999999999992,0.0,0.7583262196071232,0.999
44,Traditional,No Encryption,564.6340059362698,27.67279305838266,27.67279305838266,999.000199999999,998.9999999999992,0.0,0.7786176555329387,0.999
45,Traditional,No Encryption,642.7715387146462,24.30879256297719,24.30879256297719,999.000199999999,998.9999999999992,0.0,0.8055296594961825,0.999
46,Traditional,No Encryption,158.48252133077557,98.591313848348,98.591313848348,999.000199999999,998.9999999999992,0.0,0.211269489213216,0.999
47,Traditional,No Encryption,445.8613623956123,35.044525760310115,35.044525760310115,999.000199999999,998.9999999999992,0.0,0.7196437939175191,0.999
48,Traditional,No Encryption,219.2621164558697,71.26174029768978,71.26174029768978,999.000199999999,998.9999999999992,0.0,0.4299060776184817,0.999
49,Traditional,No Encryption,163.76092925320083,95.41347909574468,95.41347909574468,999.000199999999,998.9999999999992,0.0,0.2366921672340426,0.999
50,Traditional,No Encryption,331.60424803869535,47.119420491189544,47.119420491189544,999.000199999999,998.9999999999992,0.0,0.6230446360704837,0.999
51,Traditional,No Encryption,446.41054201902466,35.001413562796444,35.001413562796444,999.000199999999,998.9999999999992,0.0,0.7199886914976285,0.999
52,Traditional,No Encryption,262.7872710336519,59.45873990981511,59.45873990981511,999.000199999999,998.9999999999992,0.0,0.5243300807214791,0.999
53,Traditional,No Encryption,606.0699688744468,25.780851720829723,25.780851720829723,999.000199999999,998.9999999999992,0.0,0.7937531862333622,0.999
54,Traditional,No Encryption,138.45942624267946,112.84894372315163,112.84894372315163,999.000199999999,998.9999999999992,0.0,0.0972084502147868,0.999
