time_s,scenario,encryption,offered_MB_s,throughput_MB_s,throughput_Mbps,capacity_Gbps,packet_bytes,pkt_overhead_frac,lambda_pkts_s,mu_pkts_s,service_time_s,enc_delay_per_pkt_s,utilization_rho,avg_system_time_s,avg_queue_time_s,loss_ratio
0.0,ethernet,0,9.809523827267615,9.809523827267615,78.47619061814092,1.0,1500,0.02,6411.453481874259,81699.34640522876,1.224e-05,0.0,0.07847619061814093,1.3282348079764062e-05,1.0423480797640624e-06,0.0
0.1,ethernet,0,10.000351540906582,10.000351540906582,80.00281232725266,1.0,1500,0.02,6536.17747771672,81699.34640522876,1.224e-05,0.0,0.08000281232725265,1.3304388495972115e-05,1.0643884959721158e-06,0.0
0.2,ethernet,0,9.881878800386806,9.881878800386806,79.05503040309445,1.0,1500,0.02,6458.744313978305,81699.34640522876,1.224e-05,0.0,0.07905503040309446,1.3290696408665335e-05,1.0506964086653355e-06,0.0
0.30000000000000004,ethernet,0,9.71850417968721,9.71850417968721,77.74803343749768,1.0,1500,0.02,6351.963516135431,81699.34640522876,1.224e-05,0.0,0.07774803343749767,1.3271861100629571e-05,1.0318611006295718e-06,0.0
0.4,ethernet,0,10.085080707714095,10.085080707714095,80.68064566171276,1.0,1500,0.02,6591.556018113788,81699.34640522876,1.224e-05,0.0,0.08068064566171276,1.3314198099103629e-05,1.0741980991036292e-06,0.0
0.5,ethernet,0,9.998266894832083,9.998266894832083,79.98613515865667,1.0,1500,0.02,6534.814963942538,81699.34640522876,1.224e-05,0.0,0.07998613515865667,1.3304147326204472e-05,1.0641473262044725e-06,0.0
0.6000000000000001,ethernet,0,10.059235455542304,10.059235455542304,80.47388364433843,1.0,1500,0.02,6574.663696432878,81699.34640522876,1.224e-05,0.0,0.08047388364433843,1.3311204306529687e-05,1.0712043065296871e-06,0.0
0.7000000000000001,ethernet,0,9.970621391082265,9.970621391082265,79.76497112865812,1.0,1500,0.02,6516.7460072433105,81699.34640522876,1.224e-05,0.0,0.07976497112865812,1.3300949883436002e-05,1.0609498834360018e-06,0.0
0.8,ethernet,0,9.81305441325074,9.81305441325074,78.50443530600592,1.0,1500,0.02,6413.761054412247,81699.34640522876,1.224e-05,0.0,0.0785044353060059,1.328275519596733e-05,1.04275519596733e-06,0.0
0.9,ethernet,0,9.936056547663302,9.936056547663302,79.48845238130642,1.0,1500,0.02,6494.154606315883,81699.34640522876,1.224e-05,0.0,0.0794884523813064,1.3296954320306055e-05,1.0569543203060556e-06,0.0
1.0,ethernet,0,9.911036315948463,9.911036315948463,79.2882905275877,1.0,1500,0.02,6477.801513691807,81699.34640522876,1.224e-05,0.0,0.07928829052758771,1.3294063575029132e-05,1.0540635750291323e-06,0.0
1.1,ethernet,0,10.06309211062643,10.06309211062643,80.50473688501144,1.0,1500,0.02,6577.184386030346,81699.34640522876,1.224e-05,0.0,0.08050473688501143,1.3311650957868298e-05,1.0716509578682978e-06,0.0
1.2000000000000002,ethernet,0,10.244465251830063,10.244465251830063,81.9557220146405,1.0,1500,0.02,6695.728922764746,81699.34640522876,1.224e-05,0.0,0.08195572201464049,1.3332690256357326e-05,1.0926902563573267e-06,0.0
1.3,ethernet,0,9.833616667990736,9.833616667990736,78.66893334392589,1.0,1500,0.02,6427.2004365952525,81699.34640522876,1.224e-05,0.0,0.07866893334392588,1.3285126750826368e-05,1.045126750826368e-06,0.0
1.4000000000000001,ethernet,0,9.919748315788656,9.919748315788656,79.35798652630925,1.0,1500,0.02,6483.495631234416,81699.34640522876,1.224e-05,0.0,0.07935798652630925,1.3295069984713209e-05,1.0550699847132092e-06,0.0
1.5,ethernet,0,10.082022207084268,10.082022207084268,80.65617765667415,1.0,1500,0.02,6589.556998094293,81699.34640522876,1.224e-05,0.0,0.08065617765667414,1.3313843746511862e-05,1.0738437465118619e-06,0.0
1.6,ethernet,0,10.063210275595603,10.063210275595603,80.50568220476482,1.0,1500,0.02,6577.261618036342,81699.34640522876,1.224e-05,0.0,0.08050568220476483,1.3311664643397785e-05,1.0716646433977853e-06,0.0
1.7000000000000002,ethernet,0,9.988126914315838,9.988126914315838,79.90501531452671,1.0,1500,0.02,6528.187525696627,81699.34640522876,1.224e-05,0.0,0.0799050153145267,1.3302974370829922e-05,1.0629743708299218e-06,0.0
1.8,ethernet,0,10.344412319298716,10.344412319298716,82.75529855438973,1.0,1500,0.02,6761.053803463214,81699.34640522876,1.224e-05,0.0,0.08275529855438973,1.334431257079962e-05,1.1043125707996197e-06,0.0
1.9000000000000001,ethernet,0,9.98040416143172,9.98040416143172,79.84323329145376,1.0,1500,0.02,6523.139974791974,81699.34640522876,1.224e-05,0.0,0.07984323329145376,1.3302081170128418e-05,1.0620811701284183e-06,0.0
2.0,ethernet,0,10.171558932960881,10.171558932960881,81.37247146368705,1.0,1500,0.02,6648.07773396136,81699.34640522876,1.224e-05,0.0,0.08137247146368703,1.332422512909285e-05,1.0842251290928498e-06,0.0
2.1,ethernet,0,10.222060387079473,10.222060387079473,81.77648309663579,1.0,1500,0.02,6681.085220313382,81699.34640522876,1.224e-05,0.0,0.0817764830966358,1.3330087690716555e-05,1.0900876907165551e-06,0.0
2.2,ethernet,0,10.086010860756286,10.086010860756286,80.68808688605029,1.0,1500,0.02,6592.1639612786175,81699.34640522876,1.224e-05,0.0,0.08068808688605028,1.331430586876648e-05,1.0743058687664807e-06,0.0
