timestamp,scenario,encryption,load_MBps,throughput_MBps,effective_throughput_MBps,latency_s,queue_delay_s,encryption_delay_s,packet_loss
0,Traditional,False,64.53863196684338,64.53863196684338,64.53863196684338,1.067635853112864,1.067435853112864,0.0,0.0
1,Traditional,False,119.4655646164266,119.4655646164266,119.4655646164266,21.586063116409118,21.58586311640912,0.0,0.0
2,Traditional,False,79.19961162741231,79.19961162741231,79.19961162741231,1.7294344986929109,1.729234498692911,0.0,0.0
3,Traditional,False,64.56995052279174,64.56995052279174,64.56995052279174,1.0687073251039598,1.0685073251039598,0.0,0.0
4,Traditional,False,103.11950944296944,103.11950944296944,103.11950944296944,4.71305180623318,4.7128518062331795,0.0,0.0
5,Traditional,False,96.38976371902774,96.38976371902774,96.38976371902774,3.3692656299519435,3.3690656299519435,0.0,0.0
6,Traditional,False,133.685633382505,116.878677271875,116.878677271875,999.000199999999,998.9999999999991,0.0,0.06497058182499997
7,Traditional,False,51.12252842053705,51.12252842053705,51.12252842053705,0.6921907696834132,0.6919907696834132,0.0,0.0
8,Traditional,False,121.98869565606543,121.98869565606543,121.98869565606543,40.510451280903446,40.51025128090345,0.0,0.0
9,Traditional,False,139.72029153555894,111.83057112376137,111.83057112376137,999.000199999999,998.9999999999991,0.0,0.10535543100990893
10,Traditional,False,121.9121522196406,121.9121522196406,121.9121522196406,39.4814700920935,39.4812700920935,0.0,0.0
11,Traditional,False,147.8117209252926,105.7088024020587,105.7088024020587,999.000199999999,998.9999999999991,0.0,0.15432958078353046
12,Traditional,False,117.11611070158511,117.11611070158511,117.11611070158511,14.85531861831092,14.85511861831092,0.0,0.0
13,Traditional,False,107.47730126286012,107.47730126286012,107.47730126286012,6.133804353709443,6.133604353709442,0.0,0.0
14,Traditional,False,82.07099343464002,82.07099343464002,82.07099343464002,1.9119841292154252,1.9117841292154252,0.0,0.0
15,Traditional,False,264.20449494980124,59.139796251266446,59.139796251266446,999.000199999999,998.9999999999991,0.0,0.5268816299898684
16,Traditional,False,262.97611671832215,59.41604201546631,59.41604201546631,999.000199999999,998.9999999999991,0.0,0.5246716638762695
17,Traditional,False,322.5465906312842,48.44261404040559,48.44261404040559,999.000199999999,998.9999999999991,0.0,0.6124590876767553
18,Traditional,False,207.56326319814173,75.27825376827035,75.27825376827035,999.000199999999,998.9999999999991,0.0,0.3977739698538373
19,Traditional,False,346.2931979688781,45.12072455262099,45.12072455262099,999.000199999999,998.9999999999991,0.0,0.6390342035790321
20,Traditional,False,262.3141106291014,59.56599117953264,59.56599117953264,999.000199999999,998.9999999999991,0.0,0.5234720705637389
21,Traditional,False,307.3345627942549,50.8403606087746,50.8403606087746,999.000199999999,998.9999999999991,0.0,0.5932771151298032
22,Traditional,False,305.1517962463861,51.204024332152514,51.204024332152514,999.000199999999,998.9999999999991,0.0,0.5903678053427799
23,Traditional,False,275.5422138623866,56.706374609458415,56.706374609458415,999.000199999999,998.9999999999991,0.0,0.5463490031243327
24,Traditional,False,318.62126808178516,49.03941313794942,49.03941313794942,999.000199999999,998.9999999999991,0.0,0.6076846948964046
25,Traditional,False,256.6694908540592,60.87595353856952,60.87595353856952,999.000199999999,998.9999999999991,0.0,0.5129923716914438
26,Traditional,False,262.66620745492423,59.486144606863384,59.486144606863384,999.000199999999,998.9999999999991,0.0,0.5241108431450929
27,Traditional,False,333.76359304935,46.81457272570079,46.81457272570079,999.000199999999,998.9999999999991,0.0,0.6254834181943937
28,Traditional,False,276.89901160210763,56.42851489283203,56.42851489283203,999.000199999999,998.9999999999991,0.0,0.5485718808573438
29,Traditional,False,260.31948053624365,60.02240004402809,60.02240004402809,999.000199999999,998.9999999999991,0.0,0.5198207996477753
30,Traditional,False,599.1760177203357,26.077478967612713,26.077478967612713,999.000199999999,998.9999999999991,0.0,0.7913801682590983
31,Traditional,False,512.5199256822353,30.486619577182196,30.486619577182196,999.000199999999,998.9999999999991,0.0,0.7561070433825424
32,Traditional,False,461.9071131420546,33.82714739704539,33.82714739704539,999.000199999999,998.9999999999991,0.0,0.7293828208236369
33,Traditional,False,570.1674861736524,27.404228369558748,27.404228369558748,999.000199999999,998.9999999999991,0.0,0.78076617304353
34,Traditional,False,576.0496292822893,27.12439902004185,27.12439902004185,999.000199999999,998.9999999999991,0.0,0.7830048078396652
35,Traditional,False,460.1528282723975,33.95610988345472,33.95610988345472,999.000199999999,998.9999999999991,0.0,0.7283511209323622
36,Traditional,False,446.6155126000941,34.98534994683637,34.98534994683637,999.000199999999,998.9999999999991,0.0,0.720117200425309
37,Traditional,False,405.5417699018609,38.5287069289587,38.5287069289587,999.000199999999,998.9999999999991,0.0,0.6917703445683304
38,Traditional,False,483.40974692913835,32.322476117326666,32.322476117326666,999.000199999999,998.9999999999991,0.0,0.7414201910613867
39,Traditional,False,433.2769287165409,36.06238635019085,36.06238635019085,999.000199999999,998.9999999999991,0.0,0.7115009091984732
40,Traditional,False,500.35988542165,31.227523339191972,31.227523339191972,999.000199999999,998.9999999999991,0.0,0.7501798132864642
41,Traditional,False,529.3967882117554,29.514723828944156,29.514723828944156,999.000199999999,998.9999999999991,0.0,0.7638822093684468
42,Traditional,False,443.668286330332,35.217752725211575,35.217752725211575,999.000199999999,998.9999999999991,0.0,0.7182579781983074
43,Traditional,False,517.2261541851742,30.209222549109597,30.209222549109597,999.000199999999,998.9999999999991,0.0,0.7583262196071232
44,Traditional,False,564.6340059362698,27.67279305838266,27.67279305838266,999.000199999999,998.9999999999991,0.0,0.7786176555329387
